# listNFWModel[0.0884, 0.34654, 1, 0.00375, "halo_c039_a0884_e00375.txt", {2, -16, 6, 1/16}, 12]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  4.20448208e-1  5.90239940e-3  7.99510631e-3  5.90627303e-3  5.90159431e-3
  4.39063040e-1  5.06450155e-3  8.23136997e-3  5.06832171e-3  5.06382919e-3
  4.58502022e-1  4.30522562e-3  8.46116873e-3  4.30892352e-3  4.30466984e-3
  4.78801640e-1  3.62432351e-3  8.68256198e-3  3.62783462e-3  3.62386894e-3
  5.00000000e-1  3.02024819e-3  8.89374751e-3  3.02351900e-3  3.01988045e-3
  5.22136891e-1  2.49027586e-3  9.09311592e-3  2.49326711e-3  2.48998173e-3
  5.45253866e-1  2.03066039e-3  9.27929962e-3  2.03334761e-3  2.03042789e-3
  5.69394317e-1  1.63681263e-3  9.45121397e-3  1.63918548e-3  1.63663109e-3
  5.94603558e-1  1.30349646e-3  9.60808783e-3  1.30555685e-3  1.30335649e-3
  6.20928906e-1  1.02503215e-3  9.74948160e-3  1.02679220e-3  1.02492566e-3
  6.48419777e-1  7.95498020e-4  9.87529139e-3  7.96977544e-4  7.95418092e-4
  6.77127773e-1  6.08921327e-4  9.98573890e-3  6.10145626e-4  6.08862191e-4
  7.07106781e-1  4.59450786e-4  1.00813474e-2  4.60448317e-4  4.59407678e-4
  7.38413073e-1  3.41504230e-4  1.01629056e-2  3.42304732e-4  3.41473288e-4
  7.71105413e-1  2.49887052e-4  1.02314207e-2  2.50519946e-4  2.49865197e-4
  8.05245166e-1  1.79879022e-4  1.02880655e-2  1.80372216e-4  1.79863842e-4
  8.40896415e-1  1.27289199e-4  1.03341210e-2  1.27668204e-4  1.27278838e-4
  8.78126080e-1  8.84806072e-5  1.03709196e-2  8.87680288e-5  8.84736634e-5
  9.17004043e-1  6.03680048e-5  1.03997916e-2  6.05833068e-5  6.03634385e-5
  9.57603281e-1  4.03932889e-5  1.04220177e-2  4.05527900e-5  4.03903448e-5
  1.00000000e+0  2.64838354e-5  1.04387916e-2  2.66008804e-5  2.64819760e-5
  1.04427378e+0  1.69992925e-5  1.04511910e-2  1.70845367e-5  1.69981431e-5
  1.09050773e+0  1.06721233e-5  1.04601607e-2  1.07338882e-5  1.06714286e-5
  1.13878863e+0  6.54658013e-6  1.04665043e-2  6.59122567e-6  6.54616998e-6
  1.18920712e+0  3.91991434e-6  1.04708861e-2  3.95220583e-6  3.91967802e-6
  1.24185781e+0  2.28861192e-6  1.04738392e-2  2.31205519e-6  2.28847918e-6
  1.29683955e+0  1.30141466e-6  1.04757788e-2  1.31854712e-6  1.30134206e-6
  1.35425555e+0  7.19946413e-7  1.04770191e-2  7.32579924e-7  7.19907792e-7
  1.41421356e+0  3.86986765e-7  1.04777903e-2  3.96401833e-7  3.86966806e-7
  1.47682615e+0  2.01860155e-7  1.04782560e-2  2.08956090e-7  2.01850147e-7
  1.54221083e+0  1.02043711e-7  1.04785287e-2  1.07451085e-7  1.02038849e-7
  1.61049033e+0  4.99229322e-8  1.04786834e-2  5.40853731e-8  4.99206462e-8
  1.68179283e+0  2.36027425e-8  1.04787682e-2  2.68349312e-8  2.36017041e-8
  1.75625216e+0  1.07675244e-8  1.04788132e-2  1.32954390e-8  1.07670694e-8
  1.83400809e+0  4.73231489e-9  1.04788362e-2  6.72068931e-9  4.73212278e-9
  1.91520656e+0  2.00040870e-9  1.04788475e-2  3.57127432e-9  2.00033071e-9
  2.00000000e+0  8.11899689e-10  1.04788529e-2  2.05706459e-9  8.11869294e-10
  2.08854756e+0  3.15822174e-10  1.04788553e-2  1.30530960e-9  3.15810822e-10
  2.18101547e+0  1.17523010e-10  1.04788564e-2  9.05349300e-10  1.17518955e-10
  2.27757727e+0  4.17532733e-11  1.04788568e-2  6.69958767e-10  4.17518902e-11
  2.37841423e+0  1.41336723e-11  1.04788570e-2  5.15658257e-10  1.41332229e-11
  2.48371562e+0  4.54869154e-12  1.04788570e-2  4.05330392e-10  4.54855275e-12
  2.59367911e+0  1.38871741e-12  1.04788571e-2  3.21927228e-10  1.38867675e-12
  2.70851109e+0  4.01257485e-13  1.04788571e-2  2.56942845e-10  4.01246212e-13
  2.82842712e+0  1.09459974e-13  1.04788571e-2  2.05556807e-10  1.09457023e-13
  2.95365229e+0  2.81193081e-14  1.04788571e-2  1.64645698e-10  2.81185810e-14
  3.08442165e+0  6.78447474e-15  1.04788571e-2  1.31971570e-10  6.78430645e-15
  3.22098066e+0  1.53314850e-15  1.04788571e-2  1.05835098e-10  1.53311202e-15
  3.36358566e+0  3.23555884e-16  1.04788571e-2  8.49091472e-11  3.23548500e-16
  3.51250432e+0  6.35764697e-17  1.04788571e-2  6.81443255e-11  6.35750781e-17
  3.66801617e+0  1.15945062e-17  1.04788571e-2  5.47063887e-11  1.15942629e-17
  3.83041312e+0  1.95606269e-18  1.04788571e-2  4.39304612e-11  1.95602332e-18
  4.00000000e+0  3.04221823e-19  1.04788571e-2  3.52858872e-11  3.04215951e-19
  4.17709513e+0  4.34621459e-20  1.04788571e-2  2.83487249e-11  4.34613415e-20
  4.36203093e+0  5.68214161e-21  1.04788571e-2  2.27800154e-11  5.68204079e-21
  4.55515454e+0  6.77154247e-22  1.04788571e-2  1.83085631e-11  6.77142728e-22
  4.75682846e+0  7.32583104e-23  1.04788571e-2  1.47172576e-11  7.32571157e-23
  4.96743125e+0  7.16407545e-24  1.04788571e-2  1.18321936e-11  7.16396345e-24
  5.18735822e+0  6.30456679e-25  1.04788571e-2  9.51400601e-12  6.30447231e-25
