# listNFWModel[0.25, 0.98015, 4.218905, 0.00375, "halo_c039_a25_e00375.txt", {2, -16, 6, 1/16}, 12]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  3.69206536e-1  4.65671143e-1  2.57394640e-1  4.65859260e-1  4.65618485e-1
  3.85552706e-1  4.23284993e-1  2.70377049e-1  4.23450732e-1  4.23240684e-1
  4.02622583e-1  3.84412451e-1  2.83809525e-1  3.84558128e-1  3.84375207e-1
  4.20448208e-1  3.48800259e-1  2.97695289e-1  3.48927989e-1  3.48768987e-1
  4.39063040e-1  3.16209549e-1  3.12036977e-1  3.16321272e-1  3.16183320e-1
  4.58502022e-1  2.86415376e-1  3.26836639e-1  2.86512875e-1  2.86393400e-1
  4.78801640e-1  2.59206244e-1  3.42095736e-1  2.59291160e-1  2.59187850e-1
  5.00000000e-1  2.34383611e-1  3.57815140e-1  2.34457399e-1  2.34368231e-1
  5.22136891e-1  2.11761394e-1  3.73995142e-1  2.11825376e-1  2.11748547e-1
  5.45253866e-1  1.91165466e-1  3.90635455e-1  1.91220834e-1  1.91154746e-1
  5.69394317e-1  1.72433145e-1  4.07735228e-1  1.72480955e-1  1.72424208e-1
  5.94603558e-1  1.55412682e-1  4.25293053e-1  1.55453882e-1  1.55405240e-1
  6.20928906e-1  1.39962756e-1  4.43306983e-1  1.39998184e-1  1.39956564e-1
  6.48419777e-1  1.25951955e-1  4.61774548e-1  1.25982369e-1  1.25946808e-1
  6.77127773e-1  1.13258280e-1  4.80692770e-1  1.13284334e-1  1.13254006e-1
  7.07106781e-1  1.01768643e-1  5.00058185e-1  1.01790912e-1  1.01765097e-1
  7.38413073e-1  9.13783756e-2  5.19866865e-1  9.13973712e-2  9.13754367e-2
  7.71105413e-1  8.19907509e-2  5.40114439e-1  8.20069095e-2  8.19883171e-2
  8.05245166e-1  7.35165136e-2  5.60796116e-1  7.35302260e-2  7.35144998e-2
  8.40896415e-1  6.58734246e-2  5.81906713e-1  6.58850096e-2  6.58717598e-2
  8.78126080e-1  5.89858195e-2  6.03440676e-1  5.89955580e-2  5.89844443e-2
  9.17004043e-1  5.27841826e-2  6.25392107e-1  5.27922665e-2  5.27830476e-2
  9.57603281e-1  4.72047366e-2  6.47754792e-1  4.72111513e-2  4.72038006e-2
  1.00000000e+0  4.21583274e-2  6.70519656e-1  4.21610179e-2  4.21575351e-2
  1.04427378e+0  3.74058593e-2  6.93604557e-1  3.74082238e-2  3.74051719e-2
  1.09050773e+0  3.29299247e-2  7.16839162e-1  3.29323237e-2  3.29293338e-2
  1.13878863e+0  2.87531825e-2  7.40037927e-1  2.87556502e-2  2.87526793e-2
  1.18920712e+0  2.48924562e-2  7.63008032e-1  2.48949586e-2  2.48920317e-2
  1.24185781e+0  2.13585528e-2  7.85554010e-1  2.13610370e-2  2.13581983e-2
  1.29683955e+0  1.81562625e-2  8.07482846e-1  1.81586741e-2  1.81559695e-2
  1.35425555e+0  1.52845395e-2  8.28609337e-1  1.52868302e-2  1.52842999e-2
  1.41421356e+0  1.27368584e-2  8.48761504e-1  1.27389907e-2  1.27366645e-2
  1.47682615e+0  1.05017294e-2  8.67785771e-1  1.05036753e-2  1.05015743e-2
  1.54221083e+0  8.56335011e-3  8.85551647e-1  8.56509413e-3  8.56322754e-3
  1.61049033e+0  6.90236227e-3  9.01955649e-1  6.90389745e-3  6.90226656e-3
  1.68179283e+0  5.49667834e-3  9.16924219e-1  5.49800663e-3  5.49660455e-3
  1.75625216e+0  4.32233994e-3  9.30415443e-1  4.32347002e-3  4.32228379e-3
  1.83400809e+0  3.35436827e-3  9.42419447e-1  3.35531429e-3  3.35432614e-3
  1.91520656e+0  2.56756971e-3  9.52957429e-1  2.56834887e-3  2.56753854e-3
  2.00000000e+0  1.93726331e-3  9.62079369e-1  1.93789496e-3  1.93724059e-3
  2.08854756e+0  1.43990381e-3  9.69860558e-1  1.44040788e-3  1.43988750e-3
  2.18101547e+0  1.05358113e-3  9.76397164e-1  1.05397728e-3  1.05356961e-3
  2.27757727e+0  7.58386599e-4  9.81801129e-1  7.58693286e-4  7.58378599e-4
  2.37841423e+0  5.36644409e-4  9.86194722e-1  5.36878418e-4  5.36638948e-4
  2.48371562e+0  3.73015649e-4  9.89705103e-1  3.73191720e-4  3.73011989e-4
  2.59367911e+0  2.54488765e-4  9.92459214e-1  2.54619531e-4  2.54486358e-4
  2.70851109e+0  1.70275720e-4  9.94579294e-1  1.70371686e-4  1.70274168e-4
  2.82842712e+0  1.11636174e-4  9.96179230e-1  1.11705874e-4  1.11635194e-4
  2.95365229e+0  7.16529785e-5  9.97361868e-1  7.17031761e-5  7.16523728e-5
  3.08442165e+0  4.49813312e-5  9.98217335e-1  4.50172726e-5  4.49809652e-5
  3.22098066e+0  2.75913342e-5  9.98822316e-1  2.76169566e-5  2.75911181e-5
  3.36358566e+0  1.65200040e-5  9.99240181e-1  1.65383223e-5  1.65198795e-5
  3.51250432e+0  9.64449830e-6  9.99521780e-1  9.65762780e-6  9.64442837e-6
  3.66801617e+0  5.48397649e-6  9.99706732e-1  5.49345461e-6  5.48393825e-6
  3.83041312e+0  3.03354812e-6  9.99824989e-1  3.04045934e-6  3.03352777e-6
  4.00000000e+0  1.63048200e-6  9.99898511e-1  1.63558191e-6  1.63047149e-6
  4.17709513e+0  8.50428800e-7  9.99942903e-1  8.54242231e-7  8.50423528e-7
  4.36203093e+0  4.29872109e-7  9.99968899e-1  4.32759984e-7  4.29869548e-7
  4.55515454e+0  2.10289166e-7  9.99983644e-1  2.12501965e-7  2.10287962e-7
  4.75682846e+0  9.94125275e-8  9.99991734e-1  1.01125296e-7  9.94119807e-8
  4.96743125e+0  4.53475993e-8  9.99996021e-1  4.66843344e-8  4.53473597e-8
  5.18735822e+0  1.99282757e-8  9.99998212e-1  2.09783121e-8  1.99281746e-8
