# listGammaModel[1, 0.00816, 1.64, 0.00521, 0.0104167, "bulge_g1_a00816_b164_e00375.txt", {2, -18, 6, 1/16}]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  4.05262361e-2  1.45392934e+0  3.62783913e-3  2.22404264e+0  1.29977087e+0
  4.23204858e-2  1.24904174e+0  3.67995171e-3  1.90142163e+0  1.12617209e+0
  4.41941738e-2  1.07220844e+0  3.73091453e-3  1.62313824e+0  9.74415579e-1
  4.61508171e-2  9.19728765e-1  3.78071550e-3  1.38361698e+0  8.42000258e-1
  4.81940883e-2  7.88366424e-1  3.82934561e-3  1.17787693e+0  7.26665936e-1
  5.03278229e-2  6.75295199e-1  3.87679877e-3  1.00149022e+0  6.26378675e-1
  5.25560260e-2  5.78050313e-1  3.92307168e-3  8.50538536e-1  5.39315268e-1
  5.48828800e-2  4.94485026e-1  3.96816369e-3  7.21569392e-1  4.63847343e-1
  5.73127527e-2  4.22731980e-1  4.01207661e-3  6.11552577e-1  3.98525465e-1
  5.98502050e-2  3.61168843e-1  4.05481458e-3  5.17838659e-1  3.42063565e-1
  6.25000000e-2  3.08387848e-1  4.09638390e-3  4.38118765e-1  2.93323905e-1
  6.52671114e-2  2.63168830e-1  4.13679290e-3  3.70387347e-1  2.51302761e-1
  6.81567333e-2  2.24455416e-1  4.17605175e-3  3.12907478e-1  2.15116941e-1
  7.11742897e-2  1.91334030e-1  4.21417232e-3  2.64179049e-1  1.83991206e-1
  7.43254447e-2  1.63015423e-1  4.25116807e-3  2.22909629e-1  1.57246633e-1
  7.76161133e-2  1.38818450e-1  4.28705384e-3  1.87988495e-1  1.34289926e-1
  8.10524722e-2  1.18155838e-1  4.32184578e-3  1.58463087e-1  1.14603664e-1
  8.46409717e-2  1.00521732e-1  4.35556116e-3  1.33518151e-1  9.77374602e-2
  8.83883476e-2  8.54808085e-2  4.38821828e-3  1.12457190e-1  8.32999735e-2
  9.23016341e-2  7.26587745e-2  4.41983632e-3  9.46862794e-2  7.09517445e-2
  9.63881766e-2  6.17340856e-2  4.45043525e-3  7.96996615e-2  6.03987842e-2
  1.00655646e-1  5.24307418e-2  4.48003569e-3  6.70673116e-2  5.13868646e-2
  1.05112052e-1  4.45120253e-2  4.50865885e-3  5.64240795e-2  4.36964517e-2
  1.09765760e-1  3.77750660e-2  4.53632637e-3  4.74602579e-2  3.71382241e-2
  1.14625505e-1  3.20461309e-2  4.56306027e-3  3.99135090e-2  3.15491205e-2
  1.19700410e-1  2.71765458e-2  4.58888288e-3  3.35617329e-2  2.67888644e-2
  1.25000000e-1  2.30391685e-2  4.61381669e-3  2.82171644e-2  2.27369162e-2
  1.30534223e-1  1.95253430e-2  4.63788436e-3  2.37211482e-2  1.92898061e-2
  1.36313467e-1  1.65422709e-2  4.66110858e-3  1.99397315e-2  1.63588066e-2
  1.42348579e-1  1.40107462e-2  4.68351207e-3  1.67598980e-2  1.38679040e-2
  1.48650889e-1  1.18632042e-2  4.70511747e-3  1.40863352e-2  1.17520358e-2
  1.55232227e-1  1.00420439e-2  4.72594730e-3  1.18387279e-2  9.95556011e-3
  1.62104944e-1  8.49818516e-3  4.74602393e-3  9.94941137e-3  8.43093043e-3
  1.69281943e-1  7.18983098e-3  4.76536954e-3  8.36140759e-3  7.13754881e-3
  1.76776695e-1  6.08140440e-3  4.78400603e-3  7.02675605e-3  6.04077562e-3
  1.84603268e-1  5.14263788e-3  4.80195506e-3  5.90510810e-3  5.11107550e-3
  1.92776353e-1  4.34779306e-3  4.81923796e-3  4.96248245e-3  4.32328168e-3
  2.01311291e-1  3.67499292e-3  4.83587573e-3  4.17035360e-3  3.65596314e-3
  2.10224104e-1  3.10565060e-3  4.85188900e-3  3.50470046e-3  3.09088084e-3
  2.19531520e-1  2.62398120e-3  4.86729802e-3  2.94533519e-3  2.61252100e-3
  2.29251011e-1  2.21658476e-3  4.88212266e-3  2.47528846e-3  2.20769489e-3
  2.39400820e-1  1.87209033e-3  4.89638236e-3  2.08029628e-3  1.86519607e-3
  2.50000000e-1  1.58085234e-3  4.91009613e-3  1.74837212e-3  1.57550701e-3
  2.61068446e-1  1.33469170e-3  4.92328256e-3  1.46944228e-3  1.33054827e-3
  2.72626933e-1  1.12667520e-3  4.93595978e-3  1.23504172e-3  1.12346414e-3
  2.84697159e-1  9.50927718e-4  4.94814547e-3  1.03805787e-3  9.48439758e-4
  2.97301779e-1  8.02472274e-4  4.95985688e-3  8.72514182e-4  8.00544971e-4
  3.10464453e-1  6.77094026e-4  4.97111078e-3  7.33389230e-4  6.75601329e-4
  3.24209889e-1  5.71224598e-4  4.98192349e-3  6.16463502e-4  5.70068721e-4
  3.38563887e-1  4.81843776e-4  4.99231087e-3  5.18193215e-4  4.80948878e-4
  3.53553391e-1  4.06395983e-4  5.00228835e-3  4.35598716e-4  4.05703257e-4
  3.69206536e-1  3.42719357e-4  5.01187087e-3  3.66177767e-4  3.42183217e-4
  3.85552706e-1  2.88985548e-4  5.02107296e-3  3.07827647e-4  2.88570664e-4
  4.02622583e-1  2.43648632e-4  5.02990869e-3  2.58781483e-4  2.43327630e-4
  4.20448208e-1  2.05401787e-4  5.03839169e-3  2.17554615e-4  2.05153457e-4
  4.39063040e-1  1.73140547e-4  5.04653517e-3  1.82899516e-4  1.72948464e-4
  4.58502022e-1  1.45931667e-4  5.05435191e-3  1.53767845e-4  1.45783111e-4
  4.78801640e-1  1.22986740e-4  5.06185428e-3  1.29278518e-4  1.22871861e-4
  5.00000000e-1  1.03639841e-4  5.06905424e-3  1.08691618e-4  1.03551016e-4
  5.22136891e-1  8.73286106e-5  5.07596336e-3  9.13845479e-5  8.72599385e-5
  5.45253866e-1  7.35782254e-5  5.08259280e-3  7.68345434e-5  7.35251398e-5
  5.69394317e-1  6.19878453e-5  5.08895336e-3  6.46021403e-5  6.19468128e-5
  5.94603558e-1  5.22191391e-5  5.09505544e-3  5.43179665e-5  5.21874263e-5
  6.20928906e-1  4.39865819e-5  5.10090911e-3  4.56715691e-5  4.39620744e-5
  6.48419777e-1  3.70492494e-5  5.10652407e-3  3.84019966e-5  3.70303118e-5
  6.77127773e-1  3.12038797e-5  5.11190966e-3  3.22899018e-5  3.11892475e-5
  7.07106781e-1  2.62790102e-5  5.11707492e-3  2.71509064e-5  2.62677056e-5
  7.38413073e-1  2.21300212e-5  5.12202852e-3  2.28300204e-5  2.21212881e-5
  7.71105413e-1  1.86349495e-5  5.12677885e-3  1.91969518e-5  1.86282034e-5
  8.05245166e-1  1.56909511e-5  5.13133398e-3  1.61421670e-5  1.56857404e-5
  8.40896415e-1  1.32113144e-5  5.13570169e-3  1.35735954e-5  1.32072899e-5
  8.78126080e-1  1.11229379e-5  5.13988944e-3  1.14138213e-5  1.11198298e-5
  9.17004043e-1  9.36420012e-6  5.14390445e-3  9.59776625e-6  9.36179989e-6
  9.57603281e-1  7.88316253e-6  5.14775365e-3  8.07070986e-6  7.88130907e-6
  1.00000000e+0  6.63605209e-6  5.15144370e-3  6.78665334e-6  6.63462094e-6
  1.04427378e+0  5.58598104e-6  5.15498103e-3  5.70691864e-6  5.58487604e-6
  1.09050773e+0  4.70186672e-6  5.15837181e-3  4.79898760e-6  4.70101359e-6
  1.13878863e+0  3.95752022e-6  5.16162196e-3  4.03551725e-6  3.95686158e-6
  1.18920712e+0  3.33087776e-6  5.16473720e-3  3.39351947e-6  3.33036930e-6
  1.24185781e+0  2.80335240e-6  5.16772300e-3  2.85366353e-6  2.80295989e-6
  1.29683955e+0  2.35928732e-6  5.17058465e-3  2.39969664e-6  2.35898434e-6
